Title,Rank,Studio,Gross,Year
Avengers: Endgame,1,Buena Vista,2796.3,2019
Avatar,2,Fox,2789.7,2009
Titanic,3,Paramount,2187.5,1997
Star Wars: The Force Awakens,4,Buena Vista,2068.2,2015
Avengers: Infinity War,5,Buena Vista,2048.4,2018
Jurassic World,6,Universal,1671.7,2015
Marvel's The Avengers,7,Buena Vista,1518.8,2012
Furious 7,8,Universal,1516.0,2015
Avengers: Age of Ultron,9,Buena Vista,1405.4,2015
Black Panther,10,Buena Vista,1346.9,2018
Harry Potter and the Deathly Hallows Part 2,11,Warner Brothers,1341.7,2011
Star Wars: The Last Jedi,12,Buena Vista,1332.5,2017
Jurassic World: Fallen Kingdom,13,Universal,1309.5,2018
Frozen,14,Buena Vista,1276.5,2013
Beauty and the Beast,15,Buena Vista,1263.5,2017
Incredibles 2,16,Buena Vista,1242.8,2018
The Fate of the Furious,17,Universal,1236.0,2017
Iron Man 3,18,Buena Vista,1214.8,2013
Minions,19,Universal,1159.4,2015
Captain America: Civil War,20,Buena Vista,1153.3,2016
Aquaman,21,Warner Brothers,1148.0,2018
Captain Marvel,22,Buena Vista,1128.3,2019
Transformers: Dark of the Moon,23,Paramount,1123.8,2011
The Lord of the Rings: The Return of the King,24,New Line,1119.9,2003
Skyfall,25,Sony,1108.6,2012
Transformers: Age of Extinction,26,Paramount,1104.1,2014
The Dark Knight Rises,27,Warner Brothers,1084.9,2012
Toy Story 3,28,Buena Vista,1067.0,2010
Pirates of the Caribbean: Dead Man's Chest,29,Buena Vista,1066.2,2006
Rogue One: A Star Wars Story,30,Buena Vista,1056.1,2016
Pirates of the Caribbean: On Stranger Tides,31,Buena Vista,1045.7,2011
Despicable Me 3,32,Universal,1034.8,2017
Jurassic Park,33,Universal,1029.5,1993
Finding Dory,34,Buena Vista,1028.6,2016
Star Wars: Episode I - The Phantom Menace,35,Fox,1027.0,1999
Alice in Wonderland,36,Buena Vista,1025.5,2010
Zootopia,37,Buena Vista,1023.8,2016
The Hobbit: An Unexpected Journey,38,Warner Brothers,1021.1,2012
The Dark Knight,39,Warner Brothers,1004.9,2008
Harry Potter and the Sorcerer's Stone,40,Warner Brothers,975.1,2001
Despicable Me 2,41,Universal,970.8,2013
The Lion King,42,Buena Vista,968.5,1994
The Jungle Book,43,Buena Vista,966.6,2016
Pirates of the Caribbean: At World's End,44,Buena Vista,963.4,2007
Jumanji: Welcome to the Jungle,45,Sony,962.1,2017
Harry Potter and the Deathly Hallows Part 1,46,Warner Brothers,960.4,2010
The Hobbit: The Desolation of Smaug,47,Warner Brothers,958.4,2013
The Hobbit: The Battle of the Five Armies,48,Warner Brothers,956.0,2014
Finding Nemo,49,Buena Vista,940.3,2003
Harry Potter and the Order of the Phoenix,50,Warner Brothers,940.0,2007
Harry Potter and the Half-Blood Prince,51,Warner Brothers,934.5,2009
The Lord of the Rings: The Two Towers,52,New Line,926.0,2002
Shrek 2,53,Dreamworks,919.8,2004
Bohemian Rhapsody,54,Fox,903.7,2018
Harry Potter and the Goblet of Fire,55,Warner Brothers,897.1,2005
Spider-Man 3,56,Sony,890.9,2007
Ice Age: Dawn of the Dinosaurs,57,Fox,886.7,2009
Spectre,58,Sony,880.7,2015
Aladdin,59,Buena Vista,880.2,2019
Spider-Man: Homecoming,60,Sony,880.2,2017
Harry Potter and the Chamber of Secrets,61,Warner Brothers,879.2,2002
Ice Age: Continental Drift,62,Fox,877.2,2012
The Secret Life of Pets,63,Universal,875.5,2016
Batman v Superman: Dawn of Justice,64,Warner Brothers,873.6,2016
The Lord of the Rings: The Fellowship of the Ring,65,New Line,871.5,2001
Wolf Warrior 2,66,HC,870.3,2017
The Hunger Games: Catching Fire,67,Lionsgate,865.0,2013
Guardians of the Galaxy Vol. 2,68,Buena Vista,863.8,2017
Inside Out,69,Buena Vista,857.6,2015
Venom,70,Sony,855.0,2018
Thor: Ragnarok,71,Buena Vista,854.0,2017
Star Wars: Episode III - Revenge of the Sith,72,Fox,848.8,2005
Transformers: Revenge of the Fallen,73,Paramount,836.3,2009
The Twilight Saga: Breaking Dawn Part 2,74,Lionsgate,829.7,2012
Inception,75,Warner Brothers,828.3,2010
Wonder Woman,76,Warner Brothers,821.8,2017
Spider-Man,77,Sony,821.7,2002
Independence Day,78,Fox,817.4,1996
Fantastic Beasts and Where To Find Them,79,Warner Brothers,814.0,2016
Coco,80,Buena Vista,807.1,2017
Shrek the Third,81,Dreamworks,799.0,2007
Harry Potter and the Prisoner of Azkaban,82,Warner Brothers,796.9,2004
Pirates of the Caribbean: Dead Men Tell No Tales,83,Buena Vista,794.9,2017
E.T.: The Extra-Terrestrial,84,Universal,792.9,1982
Mission: Impossible - Fallout,85,Paramount,791.1,2018
Fast & Furious 6,86,Universal,788.7,2013
Indiana Jones and the Kingdom of the Crystal Skull,87,Paramount,786.6,2008
Deadpool 2,88,Fox,785.0,2018
Spider-Man 2,89,Sony,783.8,2004
Deadpool,90,Fox,783.1,2016
Star Wars,91,Fox,775.4,1977
Guardians of the Galaxy,92,Buena Vista,773.3,2014
2012,93,Sony,769.7,2009
Maleficent,94,Buena Vista,758.5,2014
The Da Vinci Code,95,Sony,758.2,2006
The Amazing Spider-Man,96,Sony,757.9,2012
The Hunger Games: Mockingjay - Part 1,97,Lionsgate,755.4,2014
Shrek Forever After,98,Dreamworks,752.6,2010
X-Men: Days of Future Past,99,Fox,747.9,2014
Madagascar 3: Europe's Most Wanted,100,Dreamworks,746.9,2012
Suicide Squad,101,Warner Brothers,746.8,2016
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",102,Buena Vista,745.0,2005
Monsters University,103,Buena Vista,744.2,2013
The Matrix Reloaded,104,Warner Brothers,742.1,2003
Up,105,Buena Vista,735.1,2009
Gravity,106,Warner Brothers,723.2,2013
Captain America: The Winter Soldier,107,Buena Vista,714.3,2014
The Twilight Saga: Breaking Dawn Part 1,108,Lionsgate,712.2,2011
Dawn of the Planet of the Apes,109,Fox,710.6,2014
The Twilight Saga: New Moon,110,Lionsgate,709.7,2009
Transformers,111,Paramount,709.7,2007
The Amazing Spider-Man 2,112,Sony,709.0,2014
It,113,Warner Brothers,700.4,2017
The Wandering Earth,114,China Film Corporation,699.8,2019
The Twilight Saga: Eclipse,115,Lionsgate,698.5,2010
Mission: Impossible - Ghost Protocol,116,Paramount,694.7,2011
The Hunger Games,117,Lionsgate,694.4,2012
Mission: Impossible - Rogue Nation,118,Paramount,682.7,2015
Forrest Gump,119,Paramount,677.9,1994
Doctor Strange,120,Buena Vista,677.7,2016
Interstellar,121,Paramount,677.5,2014
The Sixth Sense,122,Buena Vista,672.8,1999
Man of Steel,123,Warner Brothers,668.0,2013
Kung Fu Panda 2,124,Dreamworks,665.7,2011
Ice Age: The Meltdown,125,Fox,660.9,2006
Justice League,126,Warner Brothers,657.9,2017
Big Hero 6,127,Buena Vista,657.8,2014
Pirates of the Caribbean: The Curse of the Black Pearl,128,Buena Vista,654.3,2003
Fantastic Beasts: The Crimes of Grindelwald,129,Warner Brothers,653.8,2018
The Hunger Games: Mockingjay - Part 2,130,Lionsgate,653.4,2015
Star Wars: Episode II - Attack of the Clones,131,Fox,649.4,2002
Thor: The Dark World,132,Buena Vista,644.6,2013
Moana,133,Buena Vista,643.3,2016
Sing,134,Universal,634.2,2016
The Incredibles,135,Buena Vista,633.0,2004
Kung Fu Panda,136,Dreamworks,631.7,2008
The Martian,137,Fox,630.2,2015
Fast Five,138,Universal,626.1,2011
Hancock,139,Sony,624.4,2008
MIB 3,140,Sony,624.0,2012
Iron Man 2,141,Paramount,623.9,2010
Ant-Man and the Wasp,142,Buena Vista,622.7,2018
How to Train Your Dragon 2,143,Fox,621.5,2014
Ratatouille,144,Buena Vista,620.7,2007
Logan,145,Fox,619.0,2017
The Lost World: Jurassic Park,146,Universal,618.6,1997
The Passion of the Christ,147,Newmarket,611.9,2004
Mamma Mia!,148,Universal,609.9,2008
Life of Pi,149,Fox,609.0,2012
Transformers: The Last Knight,150,Paramount,605.4,2017
Madagascar: Escape 2 Africa,151,Dreamworks,603.9,2008
Casino Royale,152,Sony,599.0,2006
Tangled,153,Buena Vista,591.8,2010
War of the Worlds,154,Paramount,591.7,2005
Men in Black,155,Sony,589.4,1997
The Croods,156,Fox,587.2,2013
The Hangover Part II,157,Warner Brothers,586.8,2011
Quantum of Solace,158,Sony,586.1,2008
I Am Legend,159,Warner Brothers,585.3,2007
Iron Man,160,Paramount,585.2,2008
Ready Player One,161,Warner Brothers,582.9,2018
Operation Red Sea,162,WGUSA,579.2,2018
"Monsters, Inc.",163,Buena Vista,577.4,2001
Night at the Museum,164,Fox,574.5,2006
Fifty Shades of Grey,165,Universal,571.0,2015
Kong: Skull Island,166,Warner Brothers,566.7,2017
The Smurfs,167,Sony,563.7,2011
Cars 2,168,Buena Vista,562.1,2011
Puss in Boots,169,Dreamworks,555.0,2011
The Mermaid (Mei ren yu),170,Sony,553.8,2016
Armageddon,171,Buena Vista,553.7,1998
King Kong,172,Universal,550.5,2005
Ted,173,Universal,549.4,2012
American Sniper,174,Warner Brothers,547.4,2014
Mission: Impossible II,175,Paramount,546.4,2000
Sherlock Holmes: A Game of Shadows,176,Warner Brothers,545.4,2011
The Day After Tomorrow,177,Fox,544.3,2004
Detective Chinatown 2,178,Warner Brothers,544.1,2018
X-Men: Apocalypse,179,Fox,543.9,2016
Cinderella,180,Buena Vista,543.5,2015
Despicable Me,181,Universal,543.1,2010
Brave,182,Buena Vista,540.4,2012
World War Z,183,Paramount,540.0,2013
The Empire Strikes Back,184,Fox,538.4,1980
WALL-E,185,Buena Vista,533.3,2008
The Revenant,186,Fox,533.0,2015
Madagascar,187,Dreamworks,532.7,2005
The Meg,188,Warner Brothers,530.2,2018
Ralph Breaks the Internet,189,Buena Vista,529.3,2018
Godzilla,190,Warner Brothers,529.1,2014
Hotel Transylvania 3: Summer Vacation,191,Sony,528.6,2018
The Boss Baby,192,Fox,528.0,2017
The Simpsons Movie,193,Fox,527.1,2007
Dunkirk,194,Warner Brothers,526.9,2017
Sherlock Holmes,195,Warner Brothers,524.0,2009
Kung Fu Panda 3,196,Fox,521.2,2016
Terminator 2: Judgment Day,197,TriStar,520.9,1991
Toy Story 4,198,Buena Vista,519.8,2019
How to Train Your Dragon: The Hidden World,199,Universal,519.8,2019
Ant-Man,200,Buena Vista,519.3,2015
Meet the Fockers,201,Universal,516.6,2004
Dr. Seuss' The Grinch,202,Universal,511.6,2018
Ghost,203,Paramount,505.7,1990
Aladdin,204,Buena Vista,504.1,1992
Rio 2,205,Fox,500.1,2014
Troy,206,Warner Brothers,497.4,2004
Toy Story 2,207,Buena Vista,497.4,1999
How to Train Your Dragon,208,Dreamworks,494.9,2010
Twister,209,Warner Brothers,494.5,1996
Teenage Mutant Ninja Turtles,210,Paramount,493.3,2014
Oz The Great and Powerful,211,Buena Vista,493.3,2013
Clash of the Titans,212,Warner Brothers,493.2,2010
War for the Planet of the Apes,213,Fox,490.7,2017
Angels & Demons,214,Sony,485.9,2009
Rio,215,Fox,484.6,2011
Bruce Almighty,216,Universal,484.6,2003
Shrek,217,Dreamworks,484.4,2001
Saving Private Ryan,218,Dreamworks,482.3,1998
Rise of the Planet of the Apes,219,Fox,481.8,2011
